county,url,check_time,http_status,result,keywords_found,error_detail
Aitkin,https://www.co.aitkin.mn.us/departments/Land/LandSaleNotice.html#gsc.tab=0,2026-06-15T16:13:52,404,error_http_404,,http_404
Aitkin,https://www.co.aitkin.mn.us/departments/land/land-sales.php,2026-06-15T16:13:55,200,sale_found,tax-forfeited; forfeited land; land sale,
Anoka,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,2026-06-15T16:13:57,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; forfeited property,
Becker,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,2026-06-15T16:13:59,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,SSL certificate warning - fetched with verify=False
Beltrami,https://www.co.beltrami.mn.us/business-development/tax-forfeited-land-sales/,2026-06-15T16:14:02,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Benton,https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,2026-06-15T16:14:05,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Big Stone,https://bigstonecounty.gov/departments/auditor-treasurer/forfeited-land/,2026-06-15T16:14:09,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Blue Earth,https://www.blueearthcountymn.gov/463/Tax-Forfeiture,2026-06-15T16:14:12,200,sale_found,tax-forfeited; forfeited parcels; tax forfeit,
Brown,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,2026-06-15T16:14:14,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Carlton,https://www.co.carlton.mn.us/163/Land-Department,2026-06-15T16:14:17,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Carver,https://www.co.carver.mn.us/departments/property-finance/property-tax/tax-forfeiture-sale,2026-06-15T16:14:20,,error_connection_error,,"connection_error: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
Cass,https://www.casscountymn.gov/1339/Land-Sales,2026-06-15T16:14:28,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; over-the-counter,
Chippewa,https://www.co.chippewa.mn.us/311/Tax-Forfeiture-List,2026-06-15T16:14:31,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Chisago,https://www.chisagocounty.us/161/Tax-Forfeited-Land,2026-06-15T16:14:34,200,sale_found,tax forfeited; forfeited land; public auction; classification sale; forfeited property,
Clay,https://claycountymn.gov/290/Forfeiture-Property-for-Sale,2026-06-15T16:14:36,200,sale_found,tax forfeited; forfeited land; auction sale; tax forfeit,
