bucket,county,sale_date,sale_time,sale_type,location,online_url,description,source_url,source_type,deadlines
auction,Kanabec,2026-07-14,,Online,,,"closing on July 14, 2026, at noon, the following tax forfeited parcels will be offered at auction starting at the EMV (Estimated Market Value) amount listed. Should the parcels not sell for or above t",https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,county_webpage,
auction,Kanabec,2026-07-15,,Online,,,"closing on July 14, 2026, at noon, the following tax forfeited parcels will be offered at auction starting at the EMV (Estimated Market Value) amount listed. Should the parcels not sell for or above t",https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,county_webpage,
auction,Kanabec,2026-08-05,,Online,,,"closing on July 14, 2026, at noon, the following tax forfeited parcels will be offered at auction starting at the EMV (Estimated Market Value) amount listed. Should the parcels not sell for or above t",https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,county_webpage,
auction,Kanabec,2026-08-06,,Online,,,"closing on July 14, 2026, at noon, the following tax forfeited parcels will be offered at auction starting at the EMV (Estimated Market Value) amount listed. Should the parcels not sell for or above t",https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,county_webpage,
auction,Redwood,2026-08-11,,Unknown,County Government Center,,formation on parcel FULL TERMS AND CONDITIONS FOR TAX FORFEITED SALE (PDF) 2026 Forfeited Property Tax Sale THERE ARE CURRENTLY NO TAX FORFEITED PROPERTY AUCTIONS SCHEDULED. PLEASE CHECK BACK AT A LAT,https://redwoodcounty-mn.us/departments/auditor-treasurer/,county_webpage,
auction,Kanabec,2026-08-14,,Online,,,"closing on July 14, 2026, at noon, the following tax forfeited parcels will be offered at auction starting at the EMV (Estimated Market Value) amount listed. Should the parcels not sell for or above t",https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,county_webpage,
auction,Aitkin,,,Unknown,County Government Center,,218-927-7364 Land Classification of Aitkin County tax-forfeited Lands Forfeited 2020 & re-classified Forfeited 2019 Forfeited 2018 Forfeited 2017 Forfeited 2016 Forfeited 2014 & 2015 Full County Conta,https://www.co.aitkin.mn.us/departments/land/land-sales.php,county_webpage,Date not extracted - manual review needed
auction,Anoka,,,Unknown,,,t & Taxation Taxation Delinquent & Tax Forfeiture Tax Forfeited Land Sales Tax-Forfeited Land Sales Tax-Forfeited Parcels Tax-forfeited parcels are properties on which delinquent property taxes were n,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,county_webpage,Date not extracted - manual review needed
auction,Becker,,,Unknown,,,l Resources Management Menu Dept Home Page County Tax Forfeited Land Information Environmental Policy Forest Roads & Trails Timber Auctions Tax-Forfeited Land Sales Tax-Forfeit Easements Forest Manage,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,county_webpage,Date not extracted - manual review needed
auction,Benton,,,In Person,County Government Center,,"Tax Forfeited Properties | Benton County, MN Skip to Main Content How Do I... Services Community Government Search Aggregate Tax Elections Am I registered to vote? Register to vote or update your vote",https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,county_webpage,Date not extracted - manual review needed
